t_wall_s,step,obs_id,x_m,y_m,vx_mps,vy_mps,speed_mps,course_deg,radius_m
0.983,10,1,935.800,269.900,-4.200,-0.100,4.201,181.364,14.000
0.983,10,2,580.100,86.200,0.100,6.200,6.201,89.076,16.000
0.983,10,3,499.900,914.200,-0.100,-5.800,5.801,269.012,16.000
1.092,11,0,86.380,200.110,5.800,0.100,5.801,0.988,16.000
1.092,11,1,935.380,269.890,-4.200,-0.100,4.201,181.364,14.000
1.092,11,2,580.110,86.820,0.100,6.200,6.201,89.076,16.000
1.092,11,3,499.890,913.620,-0.100,-5.800,5.801,269.012,16.000
1.200,12,0,86.960,200.120,5.800,0.100,5.801,0.988,16.000
1.200,12,1,934.960,269.880,-4.200,-0.100,4.201,181.364,14.000
1.200,12,2,580.120,87.440,0.100,6.200,6.201,89.076,16.000
1.200,12,3,499.880,913.040,-0.100,-5.800,5.801,269.012,16.000
1.311,13,0,87.540,200.130,5.800,0.100,5.801,0.988,16.000
1.311,13,1,934.540,269.870,-4.200,-0.100,4.201,181.364,14.000
1.311,13,2,580.130,88.060,0.100,6.200,6.201,89.076,16.000
1.311,13,3,499.870,912.460,-0.100,-5.800,5.801,269.012,16.000
1.419,14,0,88.120,200.140,5.800,0.100,5.801,0.988,16.000
1.419,14,1,934.120,269.860,-4.200,-0.100,4.201,181.364,14.000
1.419,14,2,580.140,88.680,0.100,6.200,6.201,89.076,16.000
1.419,14,3,499.860,911.880,-0.100,-5.800,5.801,269.012,16.000
1.528,15,0,88.700,200.150,5.800,0.100,5.801,0.988,16.000
1.528,15,1,933.700,269.850,-4.200,-0.100,4.201,181.364,14.000
1.528,15,2,580.150,89.300,0.100,6.200,6.201,89.076,16.000
1.528,15,3,499.850,911.300,-0.100,-5.800,5.801,269.012,16.000
1.638,16,0,89.280,200.160,5.800,0.100,5.801,0.988,16.000
1.638,16,1,933.280,269.840,-4.200,-0.100,4.201,181.364,14.000
1.638,16,2,580.160,89.920,0.100,6.200,6.201,89.076,16.000
1.638,16,3,499.840,910.720,-0.100,-5.800,5.801,269.012,16.000
1.746,17,0,89.860,200.170,5.800,0.100,5.801,0.988,16.000
1.746,17,1,932.860,269.830,-4.200,-0.100,4.201,181.364,14.000
1.746,17,2,580.170,90.540,0.100,6.200,6.201,89.076,16.000
1.746,17,3,499.830,910.140,-0.100,-5.800,5.801,269.012,16.000
1.856,18,0,90.440,200.180,5.800,0.100,5.801,0.988,16.000
1.856,18,1,932.440,269.820,-4.200,-0.100,4.201,181.364,14.000
1.856,18,2,580.180,91.160,0.100,6.200,6.201,89.076,16.000
1.856,18,3,499.820,909.560,-0.100,-5.800,5.801,269.012,16.000
1.964,19,0,91.020,200.190,5.800,0.100,5.801,0.988,16.000
1.964,19,1,932.020,269.810,-4.200,-0.100,4.201,181.364,14.000
1.964,19,2,580.190,91.780,0.100,6.200,6.201,89.076,16.000
1.964,19,3,499.810,908.980,-0.100,-5.800,5.801,269.012,16.000
2.072,20,0,91.600,200.200,5.800,0.100,5.801,0.988,16.000
2.072,20,1,931.600,269.800,-4.200,-0.100,4.201,181.364,14.000
2.072,20,2,580.200,92.400,0.100,6.200,6.201,89.076,16.000
2.072,20,3,499.800,908.400,-0.100,-5.800,5.801,269.012,16.000
2.182,21,0,92.180,200.210,5.800,0.100,5.801,0.988,16.000
2.182,21,1,931.180,269.790,-4.200,-0.100,4.201,181.364,14.000
2.182,21,2,580.210,93.020,0.100,6.200,6.201,89.076,16.000
2.182,21,3,499.790,907.820,-0.100,-5.800,5.801,269.012,16.000
2.291,22,0,92.760,200.220,5.800,0.100,5.801,0.988,16.000
2.291,22,1,930.760,269.780,-4.200,-0.100,4.201,181.364,14.000
2.291,22,2,580.220,93.640,0.100,6.200,6.201,89.076,16.000
2.291,22,3,499.780,907.240,-0.100,-5.800,5.801,269.012,16.000
2.401,23,0,93.340,200.230,5.800,0.100,5.801,0.988,16.000
2.401,23,1,930.340,269.770,-4.200,-0.100,4.201,181.364,14.000
2.401,23,2,580.230,94.260,0.100,6.200,6.201,89.076,16.000
2.401,23,3,499.770,906.660,-0.100,-5.800,5.801,269.012,16.000
2.511,24,0,93.920,200.240,5.800,0.100,5.801,0.988,16.000
2.511,24,1,929.920,269.760,-4.200,-0.100,4.201,181.364,14.000
2.511,24,2,580.240,94.880,0.100,6.200,6.201,89.076,16.000
2.511,24,3,499.760,906.080,-0.100,-5.800,5.801,269.012,16.000
2.620,25,0,94.500,200.250,5.800,0.100,5.801,0.988,16.000
2.620,25,1,929.500,269.750,-4.200,-0.100,4.201,181.364,14.000
2.620,25,2,580.250,95.500,0.100,6.200,6.201,89.076,16.000
2.620,25,3,499.750,905.500,-0.100,-5.800,5.801,269.012,16.000
2.728,26,0,95.080,200.260,5.800,0.100,5.801,0.988,16.000
2.728,26,1,929.080,269.740,-4.200,-0.100,4.201,181.364,14.000
2.728,26,2,580.260,96.120,0.100,6.200,6.201,89.076,16.000
2.728,26,3,499.740,904.920,-0.100,-5.800,5.801,269.012,16.000
2.837,27,0,95.660,200.270,5.800,0.100,5.801,0.988,16.000
2.837,27,1,928.660,269.730,-4.200,-0.100,4.201,181.364,14.000
2.837,27,2,580.270,96.740,0.100,6.200,6.201,89.076,16.000
2.837,27,3,499.730,904.340,-0.100,-5.800,5.801,269.012,16.000
2.946,28,0,96.240,200.280,5.800,0.100,5.801,0.988,16.000
2.946,28,1,928.240,269.720,-4.200,-0.100,4.201,181.364,14.000
2.946,28,2,580.280,97.360,0.100,6.200,6.201,89.076,16.000
2.946,28,3,499.720,903.760,-0.100,-5.800,5.801,269.012,16.000
3.055,29,0,96.820,200.290,5.800,0.100,5.801,0.988,16.000
3.055,29,1,927.820,269.710,-4.200,-0.100,4.201,181.364,14.000
3.055,29,2,580.290,97.980,0.100,6.200,6.201,89.076,16.000
3.055,29,3,499.710,903.180,-0.100,-5.800,5.801,269.012,16.000
3.166,30,0,97.400,200.300,5.800,0.100,5.801,0.988,16.000
3.166,30,1,927.400,269.700,-4.200,-0.100,4.201,181.364,14.000
3.166,30,2,580.300,98.600,0.100,6.200,6.201,89.076,16.000
3.166,30,3,499.700,902.600,-0.100,-5.800,5.801,269.012,16.000
3.274,31,0,97.980,200.310,5.800,0.100,5.801,0.988,16.000
3.274,31,1,926.980,269.690,-4.200,-0.100,4.201,181.364,14.000
3.274,31,2,580.310,99.220,0.100,6.200,6.201,89.076,16.000
3.274,31,3,499.690,902.020,-0.100,-5.800,5.801,269.012,16.000
3.383,32,0,98.560,200.320,5.800,0.100,5.801,0.988,16.000
3.383,32,1,926.560,269.680,-4.200,-0.100,4.201,181.364,14.000
3.383,32,2,580.320,99.840,0.100,6.200,6.201,89.076,16.000
3.383,32,3,499.680,901.440,-0.100,-5.800,5.801,269.012,16.000
3.492,33,0,99.140,200.330,5.800,0.100,5.801,0.988,16.000
3.492,33,1,926.140,269.670,-4.200,-0.100,4.201,181.364,14.000
3.492,33,2,580.330,100.460,0.100,6.200,6.201,89.076,16.000
3.492,33,3,499.670,900.860,-0.100,-5.800,5.801,269.012,16.000
3.602,34,0,99.720,200.340,5.800,0.100,5.801,0.988,16.000
3.602,34,1,925.720,269.660,-4.200,-0.100,4.201,181.364,14.000
3.602,34,2,580.340,101.080,0.100,6.200,6.201,89.076,16.000
3.602,34,3,499.660,900.280,-0.100,-5.800,5.801,269.012,16.000
3.711,35,0,100.300,200.350,5.800,0.100,5.801,0.988,16.000
3.711,35,1,925.300,269.650,-4.200,-0.100,4.201,181.364,14.000
3.711,35,2,580.350,101.700,0.100,6.200,6.201,89.076,16.000
3.711,35,3,499.650,899.700,-0.100,-5.800,5.801,269.012,16.000
3.821,36,0,100.880,200.360,5.800,0.100,5.801,0.988,16.000
3.821,36,1,924.880,269.640,-4.200,-0.100,4.201,181.364,14.000
3.821,36,2,580.360,102.320,0.100,6.200,6.201,89.076,16.000
3.821,36,3,499.640,899.120,-0.100,-5.800,5.801,269.012,16.000
3.930,37,0,101.460,200.370,5.800,0.100,5.801,0.988,16.000
3.930,37,1,924.460,269.630,-4.200,-0.100,4.201,181.364,14.000
3.930,37,2,580.370,102.940,0.100,6.200,6.201,89.076,16.000
3.930,37,3,499.630,898.540,-0.100,-5.800,5.801,269.012,16.000
4.038,38,0,102.040,200.380,5.800,0.100,5.801,0.988,16.000
4.038,38,1,924.040,269.620,-4.200,-0.100,4.201,181.364,14.000
4.038,38,2,580.380,103.560,0.100,6.200,6.201,89.076,16.000
4.038,38,3,499.620,897.960,-0.100,-5.800,5.801,269.012,16.000
4.147,39,0,102.620,200.390,5.800,0.100,5.801,0.988,16.000
4.147,39,1,923.620,269.610,-4.200,-0.100,4.201,181.364,14.000
4.147,39,2,580.390,104.180,0.100,6.200,6.201,89.076,16.000
4.147,39,3,499.610,897.380,-0.100,-5.800,5.801,269.012,16.000
4.257,40,0,103.200,200.400,5.800,0.100,5.801,0.988,16.000
4.257,40,1,923.200,269.600,-4.200,-0.100,4.201,181.364,14.000
4.257,40,2,580.400,104.800,0.100,6.200,6.201,89.076,16.000
4.257,40,3,499.600,896.800,-0.100,-5.800,5.801,269.012,16.000
4.364,41,0,103.780,200.410,5.800,0.100,5.801,0.988,16.000
4.364,41,1,922.780,269.590,-4.200,-0.100,4.201,181.364,14.000
4.364,41,2,580.410,105.420,0.100,6.200,6.201,89.076,16.000
4.364,41,3,499.590,896.220,-0.100,-5.800,5.801,269.012,16.000
4.474,42,0,104.360,200.420,5.800,0.100,5.801,0.988,16.000
4.474,42,1,922.360,269.580,-4.200,-0.100,4.201,181.364,14.000
4.474,42,2,580.420,106.040,0.100,6.200,6.201,89.076,16.000
4.474,42,3,499.580,895.640,-0.100,-5.800,5.801,269.012,16.000
4.582,43,0,104.940,200.430,5.800,0.100,5.801,0.988,16.000
4.582,43,1,921.940,269.570,-4.200,-0.100,4.201,181.364,14.000
4.582,43,2,580.430,106.660,0.100,6.200,6.201,89.076,16.000
4.582,43,3,499.570,895.060,-0.100,-5.800,5.801,269.012,16.000
4.691,44,0,105.520,200.440,5.800,0.100,5.801,0.988,16.000
4.691,44,1,921.520,269.560,-4.200,-0.100,4.201,181.364,14.000
4.691,44,2,580.440,107.280,0.100,6.200,6.201,89.076,16.000
4.691,44,3,499.560,894.480,-0.100,-5.800,5.801,269.012,16.000
4.802,45,0,106.100,200.450,5.800,0.100,5.801,0.988,16.000
4.802,45,1,921.100,269.550,-4.200,-0.100,4.201,181.364,14.000
4.802,45,2,580.450,107.900,0.100,6.200,6.201,89.076,16.000
4.802,45,3,499.550,893.900,-0.100,-5.800,5.801,269.012,16.000
4.910,46,0,106.680,200.460,5.800,0.100,5.801,0.988,16.000
4.910,46,1,920.680,269.540,-4.200,-0.100,4.201,181.364,14.000
4.910,46,2,580.460,108.520,0.100,6.200,6.201,89.076,16.000
4.910,46,3,499.540,893.320,-0.100,-5.800,5.801,269.012,16.000
5.020,47,0,107.260,200.470,5.800,0.100,5.801,0.988,16.000
5.020,47,1,920.260,269.530,-4.200,-0.100,4.201,181.364,14.000
5.020,47,2,580.470,109.140,0.100,6.200,6.201,89.076,16.000
5.020,47,3,499.530,892.740,-0.100,-5.800,5.801,269.012,16.000
5.128,48,0,107.840,200.480,5.800,0.100,5.801,0.988,16.000
5.128,48,1,919.840,269.520,-4.200,-0.100,4.201,181.364,14.000
5.128,48,2,580.480,109.760,0.100,6.200,6.201,89.076,16.000
5.128,48,3,499.520,892.160,-0.100,-5.800,5.801,269.012,16.000
5.237,49,0,108.420,200.490,5.800,0.100,5.801,0.988,16.000
5.237,49,1,919.420,269.510,-4.200,-0.100,4.201,181.364,14.000
5.237,49,2,580.490,110.380,0.100,6.200,6.201,89.076,16.000
5.237,49,3,499.510,891.580,-0.100,-5.800,5.801,269.012,16.000
5.346,50,0,109.000,200.500,5.800,0.100,5.801,0.988,16.000
5.346,50,1,919.000,269.500,-4.200,-0.100,4.201,181.364,14.000
5.346,50,2,580.500,111.000,0.100,6.200,6.201,89.076,16.000
5.346,50,3,499.500,891.000,-0.100,-5.800,5.801,269.012,16.000
5.456,51,0,109.580,200.510,5.800,0.100,5.801,0.988,16.000
5.456,51,1,918.580,269.490,-4.200,-0.100,4.201,181.364,14.000
5.456,51,2,580.510,111.620,0.100,6.200,6.201,89.076,16.000
5.456,51,3,499.490,890.420,-0.100,-5.800,5.801,269.012,16.000
5.566,52,0,110.160,200.520,5.800,0.100,5.801,0.988,16.000
5.566,52,1,918.160,269.480,-4.200,-0.100,4.201,181.364,14.000
5.566,52,2,580.520,112.240,0.100,6.200,6.201,89.076,16.000
5.566,52,3,499.480,889.840,-0.100,-5.800,5.801,269.012,16.000
5.675,53,0,110.740,200.530,5.800,0.100,5.801,0.988,16.000
5.675,53,1,917.740,269.470,-4.200,-0.100,4.201,181.364,14.000
5.675,53,2,580.530,112.860,0.100,6.200,6.201,89.076,16.000
5.675,53,3,499.470,889.260,-0.100,-5.800,5.801,269.012,16.000
5.784,54,0,111.320,200.540,5.800,0.100,5.801,0.988,16.000
5.784,54,1,917.320,269.460,-4.200,-0.100,4.201,181.364,14.000
5.784,54,2,580.540,113.480,0.100,6.200,6.201,89.076,16.000
5.784,54,3,499.460,888.680,-0.100,-5.800,5.801,269.012,16.000
5.892,55,0,111.900,200.550,5.800,0.100,5.801,0.988,16.000
5.892,55,1,916.900,269.450,-4.200,-0.100,4.201,181.364,14.000
5.892,55,2,580.550,114.100,0.100,6.200,6.201,89.076,16.000
5.892,55,3,499.450,888.100,-0.100,-5.800,5.801,269.012,16.000
6.000,56,0,112.480,200.560,5.800,0.100,5.801,0.988,16.000
6.000,56,1,916.480,269.440,-4.200,-0.100,4.201,181.364,14.000
6.000,56,2,580.560,114.720,0.100,6.200,6.201,89.076,16.000
6.000,56,3,499.440,887.520,-0.100,-5.800,5.801,269.012,16.000
6.109,57,0,113.060,200.570,5.800,0.100,5.801,0.988,16.000
6.109,57,1,916.060,269.430,-4.200,-0.100,4.201,181.364,14.000
6.109,57,2,580.570,115.340,0.100,6.200,6.201,89.076,16.000
6.109,57,3,499.430,886.940,-0.100,-5.800,5.801,269.012,16.000
6.219,58,0,113.640,200.580,5.800,0.100,5.801,0.988,16.000
6.219,58,1,915.640,269.420,-4.200,-0.100,4.201,181.364,14.000
6.219,58,2,580.580,115.960,0.100,6.200,6.201,89.076,16.000
6.219,58,3,499.420,886.360,-0.100,-5.800,5.801,269.012,16.000
6.329,59,0,114.220,200.590,5.800,0.100,5.801,0.988,16.000
6.329,59,1,915.220,269.410,-4.200,-0.100,4.201,181.364,14.000
6.329,59,2,580.590,116.580,0.100,6.200,6.201,89.076,16.000
6.329,59,3,499.410,885.780,-0.100,-5.800,5.801,269.012,16.000
6.438,60,0,114.800,200.600,5.800,0.100,5.801,0.988,16.000
6.438,60,1,914.800,269.400,-4.200,-0.100,4.201,181.364,14.000
6.438,60,2,580.600,117.200,0.100,6.200,6.201,89.076,16.000
6.438,60,3,499.400,885.200,-0.100,-5.800,5.801,269.012,16.000
6.546,61,0,115.380,200.610,5.800,0.100,5.801,0.988,16.000
6.546,61,1,914.380,269.390,-4.200,-0.100,4.201,181.364,14.000
6.546,61,2,580.610,117.820,0.100,6.200,6.201,89.076,16.000
6.546,61,3,499.390,884.620,-0.100,-5.800,5.801,269.012,16.000
6.655,62,0,115.960,200.620,5.800,0.100,5.801,0.988,16.000
6.655,62,1,913.960,269.380,-4.200,-0.100,4.201,181.364,14.000
6.655,62,2,580.620,118.440,0.100,6.200,6.201,89.076,16.000
6.655,62,3,499.380,884.040,-0.100,-5.800,5.801,269.012,16.000
6.763,63,0,116.540,200.630,5.800,0.100,5.801,0.988,16.000
6.763,63,1,913.540,269.370,-4.200,-0.100,4.201,181.364,14.000
6.763,63,2,580.630,119.060,0.100,6.200,6.201,89.076,16.000
6.763,63,3,499.370,883.460,-0.100,-5.800,5.801,269.012,16.000
6.872,64,0,117.120,200.640,5.800,0.100,5.801,0.988,16.000
6.872,64,1,913.120,269.360,-4.200,-0.100,4.201,181.364,14.000
6.872,64,2,580.640,119.680,0.100,6.200,6.201,89.076,16.000
6.872,64,3,499.360,882.880,-0.100,-5.800,5.801,269.012,16.000
6.980,65,0,117.700,200.650,5.800,0.100,5.801,0.988,16.000
6.980,65,1,912.700,269.350,-4.200,-0.100,4.201,181.364,14.000
6.980,65,2,580.650,120.300,0.100,6.200,6.201,89.076,16.000
6.980,65,3,499.350,882.300,-0.100,-5.800,5.801,269.012,16.000
7.087,66,0,118.280,200.660,5.800,0.100,5.801,0.988,16.000
7.087,66,1,912.280,269.340,-4.200,-0.100,4.201,181.364,14.000
7.087,66,2,580.660,120.920,0.100,6.200,6.201,89.076,16.000
7.087,66,3,499.340,881.720,-0.100,-5.800,5.801,269.012,16.000
7.198,67,0,118.860,200.670,5.800,0.100,5.801,0.988,16.000
7.198,67,1,911.860,269.330,-4.200,-0.100,4.201,181.364,14.000
7.198,67,2,580.670,121.540,0.100,6.200,6.201,89.076,16.000
7.198,67,3,499.330,881.140,-0.100,-5.800,5.801,269.012,16.000
7.306,68,0,119.440,200.680,5.800,0.100,5.801,0.988,16.000
7.306,68,1,911.440,269.320,-4.200,-0.100,4.201,181.364,14.000
7.306,68,2,580.680,122.160,0.100,6.200,6.201,89.076,16.000
7.306,68,3,499.320,880.560,-0.100,-5.800,5.801,269.012,16.000
7.416,69,0,120.020,200.690,5.800,0.100,5.801,0.988,16.000
7.416,69,1,911.020,269.310,-4.200,-0.100,4.201,181.364,14.000
7.416,69,2,580.690,122.780,0.100,6.200,6.201,89.076,16.000
7.416,69,3,499.310,879.980,-0.100,-5.800,5.801,269.012,16.000
7.525,70,0,120.600,200.700,5.800,0.100,5.801,0.988,16.000
7.525,70,1,910.600,269.300,-4.200,-0.100,4.201,181.364,14.000
7.525,70,2,580.700,123.400,0.100,6.200,6.201,89.076,16.000
7.525,70,3,499.300,879.400,-0.100,-5.800,5.801,269.012,16.000
7.635,71,0,121.180,200.710,5.800,0.100,5.801,0.988,16.000
7.635,71,1,910.180,269.290,-4.200,-0.100,4.201,181.364,14.000
7.635,71,2,580.710,124.020,0.100,6.200,6.201,89.076,16.000
7.635,71,3,499.290,878.820,-0.100,-5.800,5.801,269.012,16.000
7.742,72,0,121.760,200.720,5.800,0.100,5.801,0.988,16.000
7.742,72,1,909.760,269.280,-4.200,-0.100,4.201,181.364,14.000
7.742,72,2,580.720,124.640,0.100,6.200,6.201,89.076,16.000
7.742,72,3,499.280,878.240,-0.100,-5.800,5.801,269.012,16.000
7.850,73,0,122.340,200.730,5.800,0.100,5.801,0.988,16.000
7.850,73,1,909.340,269.270,-4.200,-0.100,4.201,181.364,14.000
7.850,73,2,580.730,125.260,0.100,6.200,6.201,89.076,16.000
7.850,73,3,499.270,877.660,-0.100,-5.800,5.801,269.012,16.000
7.960,74,0,122.920,200.740,5.800,0.100,5.801,0.988,16.000
7.960,74,1,908.920,269.260,-4.200,-0.100,4.201,181.364,14.000
7.960,74,2,580.740,125.880,0.100,6.200,6.201,89.076,16.000
7.960,74,3,499.260,877.080,-0.100,-5.800,5.801,269.012,16.000
8.068,75,0,123.500,200.750,5.800,0.100,5.801,0.988,16.000
8.068,75,1,908.500,269.250,-4.200,-0.100,4.201,181.364,14.000
8.068,75,2,580.750,126.500,0.100,6.200,6.201,89.076,16.000
8.068,75,3,499.250,876.500,-0.100,-5.800,5.801,269.012,16.000
8.177,76,0,124.080,200.760,5.800,0.100,5.801,0.988,16.000
8.177,76,1,908.080,269.240,-4.200,-0.100,4.201,181.364,14.000
8.177,76,2,580.760,127.120,0.100,6.200,6.201,89.076,16.000
8.177,76,3,499.240,875.920,-0.100,-5.800,5.801,269.012,16.000
8.286,77,0,124.660,200.770,5.800,0.100,5.801,0.988,16.000
8.286,77,1,907.660,269.230,-4.200,-0.100,4.201,181.364,14.000
8.286,77,2,580.770,127.740,0.100,6.200,6.201,89.076,16.000
8.286,77,3,499.230,875.340,-0.100,-5.800,5.801,269.012,16.000
8.394,78,0,125.240,200.780,5.800,0.100,5.801,0.988,16.000
8.394,78,1,907.240,269.220,-4.200,-0.100,4.201,181.364,14.000
8.394,78,2,580.780,128.360,0.100,6.200,6.201,89.076,16.000
8.394,78,3,499.220,874.760,-0.100,-5.800,5.801,269.012,16.000
8.503,79,0,125.820,200.790,5.800,0.100,5.801,0.988,16.000
8.503,79,1,906.820,269.210,-4.200,-0.100,4.201,181.364,14.000
8.503,79,2,580.790,128.980,0.100,6.200,6.201,89.076,16.000
8.503,79,3,499.210,874.180,-0.100,-5.800,5.801,269.012,16.000
8.611,80,0,126.400,200.800,5.800,0.100,5.801,0.988,16.000
8.611,80,1,906.400,269.200,-4.200,-0.100,4.201,181.364,14.000
8.611,80,2,580.800,129.600,0.100,6.200,6.201,89.076,16.000
8.611,80,3,499.200,873.600,-0.100,-5.800,5.801,269.012,16.000
8.721,81,0,126.980,200.810,5.800,0.100,5.801,0.988,16.000
8.721,81,1,905.980,269.190,-4.200,-0.100,4.201,181.364,14.000
8.721,81,2,580.810,130.220,0.100,6.200,6.201,89.076,16.000
8.721,81,3,499.190,873.020,-0.100,-5.800,5.801,269.012,16.000
8.828,82,0,127.560,200.820,5.800,0.100,5.801,0.988,16.000
8.828,82,1,905.560,269.180,-4.200,-0.100,4.201,181.364,14.000
8.828,82,2,580.820,130.840,0.100,6.200,6.201,89.076,16.000
8.828,82,3,499.180,872.440,-0.100,-5.800,5.801,269.012,16.000
8.936,83,0,128.140,200.830,5.800,0.100,5.801,0.988,16.000
8.936,83,1,905.140,269.170,-4.200,-0.100,4.201,181.364,14.000
8.936,83,2,580.830,131.460,0.100,6.200,6.201,89.076,16.000
8.936,83,3,499.170,871.860,-0.100,-5.800,5.801,269.012,16.000
9.045,84,0,128.720,200.840,5.800,0.100,5.801,0.988,16.000
9.045,84,1,904.720,269.160,-4.200,-0.100,4.201,181.364,14.000
9.045,84,2,580.840,132.080,0.100,6.200,6.201,89.076,16.000
9.045,84,3,499.160,871.280,-0.100,-5.800,5.801,269.012,16.000
9.153,85,0,129.300,200.850,5.800,0.100,5.801,0.988,16.000
9.153,85,1,904.300,269.150,-4.200,-0.100,4.201,181.364,14.000
9.153,85,2,580.850,132.700,0.100,6.200,6.201,89.076,16.000
9.153,85,3,499.150,870.700,-0.100,-5.800,5.801,269.012,16.000
9.263,86,0,129.880,200.860,5.800,0.100,5.801,0.988,16.000
9.263,86,1,903.880,269.140,-4.200,-0.100,4.201,181.364,14.000
9.263,86,2,580.860,133.320,0.100,6.200,6.201,89.076,16.000
9.263,86,3,499.140,870.120,-0.100,-5.800,5.801,269.012,16.000
9.373,87,0,130.460,200.870,5.800,0.100,5.801,0.988,16.000
9.373,87,1,903.460,269.130,-4.200,-0.100,4.201,181.364,14.000
9.373,87,2,580.870,133.940,0.100,6.200,6.201,89.076,16.000
9.373,87,3,499.130,869.540,-0.100,-5.800,5.801,269.012,16.000
9.482,88,0,131.040,200.880,5.800,0.100,5.801,0.988,16.000
9.482,88,1,903.040,269.120,-4.200,-0.100,4.201,181.364,14.000
9.482,88,2,580.880,134.560,0.100,6.200,6.201,89.076,16.000
9.482,88,3,499.120,868.960,-0.100,-5.800,5.801,269.012,16.000
9.590,89,0,131.620,200.890,5.800,0.100,5.801,0.988,16.000
9.590,89,1,902.620,269.110,-4.200,-0.100,4.201,181.364,14.000
9.590,89,2,580.890,135.180,0.100,6.200,6.201,89.076,16.000
9.590,89,3,499.110,868.380,-0.100,-5.800,5.801,269.012,16.000
9.698,90,0,132.200,200.900,5.800,0.100,5.801,0.988,16.000
9.698,90,1,902.200,269.100,-4.200,-0.100,4.201,181.364,14.000
9.698,90,2,580.900,135.800,0.100,6.200,6.201,89.076,16.000
9.698,90,3,499.100,867.800,-0.100,-5.800,5.801,269.012,16.000
9.807,91,0,132.780,200.910,5.800,0.100,5.801,0.988,16.000
9.807,91,1,901.780,269.090,-4.200,-0.100,4.201,181.364,14.000
9.807,91,2,580.910,136.420,0.100,6.200,6.201,89.076,16.000
9.807,91,3,499.090,867.220,-0.100,-5.800,5.801,269.012,16.000
9.915,92,0,133.360,200.920,5.800,0.100,5.801,0.988,16.000
9.915,92,1,901.360,269.080,-4.200,-0.100,4.201,181.364,14.000
9.915,92,2,580.920,137.040,0.100,6.200,6.201,89.076,16.000
9.915,92,3,499.080,866.640,-0.100,-5.800,5.801,269.012,16.000
10.024,93,0,133.940,200.930,5.800,0.100,5.801,0.988,16.000
10.024,93,1,900.940,269.070,-4.200,-0.100,4.201,181.364,14.000
10.024,93,2,580.930,137.660,0.100,6.200,6.201,89.076,16.000
10.024,93,3,499.070,866.060,-0.100,-5.800,5.801,269.012,16.000
10.132,94,0,134.520,200.940,5.800,0.100,5.801,0.988,16.000
10.132,94,1,900.520,269.060,-4.200,-0.100,4.201,181.364,14.000
10.132,94,2,580.940,138.280,0.100,6.200,6.201,89.076,16.000
