t_wall_s,step,obs_id,x_m,y_m,vx_mps,vy_mps,speed_mps,course_deg,radius_m
1.813,19,2,580.190,91.780,0.100,6.200,6.201,89.076,16.000
1.813,19,3,499.810,908.980,-0.100,-5.800,5.801,269.012,16.000
1.914,20,0,91.600,200.200,5.800,0.100,5.801,0.988,16.000
1.914,20,1,931.600,269.800,-4.200,-0.100,4.201,181.364,14.000
1.914,20,2,580.200,92.400,0.100,6.200,6.201,89.076,16.000
1.914,20,3,499.800,908.400,-0.100,-5.800,5.801,269.012,16.000
2.784,21,0,92.180,200.210,5.800,0.100,5.801,0.988,16.000
2.784,21,1,931.180,269.790,-4.200,-0.100,4.201,181.364,14.000
2.784,21,2,580.210,93.020,0.100,6.200,6.201,89.076,16.000
2.784,21,3,499.790,907.820,-0.100,-5.800,5.801,269.012,16.000
2.885,22,0,92.760,200.220,5.800,0.100,5.801,0.988,16.000
2.885,22,1,930.760,269.780,-4.200,-0.100,4.201,181.364,14.000
2.885,22,2,580.220,93.640,0.100,6.200,6.201,89.076,16.000
2.885,22,3,499.780,907.240,-0.100,-5.800,5.801,269.012,16.000
2.986,23,0,93.340,200.230,5.800,0.100,5.801,0.988,16.000
2.986,23,1,930.340,269.770,-4.200,-0.100,4.201,181.364,14.000
2.986,23,2,580.230,94.260,0.100,6.200,6.201,89.076,16.000
2.986,23,3,499.770,906.660,-0.100,-5.800,5.801,269.012,16.000
3.087,24,0,93.920,200.240,5.800,0.100,5.801,0.988,16.000
3.087,24,1,929.920,269.760,-4.200,-0.100,4.201,181.364,14.000
3.087,24,2,580.240,94.880,0.100,6.200,6.201,89.076,16.000
3.087,24,3,499.760,906.080,-0.100,-5.800,5.801,269.012,16.000
3.188,25,0,94.500,200.250,5.800,0.100,5.801,0.988,16.000
3.188,25,1,929.500,269.750,-4.200,-0.100,4.201,181.364,14.000
3.188,25,2,580.250,95.500,0.100,6.200,6.201,89.076,16.000
3.188,25,3,499.750,905.500,-0.100,-5.800,5.801,269.012,16.000
3.289,26,0,95.080,200.260,5.800,0.100,5.801,0.988,16.000
3.289,26,1,929.080,269.740,-4.200,-0.100,4.201,181.364,14.000
3.289,26,2,580.260,96.120,0.100,6.200,6.201,89.076,16.000
3.289,26,3,499.740,904.920,-0.100,-5.800,5.801,269.012,16.000
3.389,27,0,95.660,200.270,5.800,0.100,5.801,0.988,16.000
3.389,27,1,928.660,269.730,-4.200,-0.100,4.201,181.364,14.000
3.389,27,2,580.270,96.740,0.100,6.200,6.201,89.076,16.000
3.389,27,3,499.730,904.340,-0.100,-5.800,5.801,269.012,16.000
3.489,28,0,96.240,200.280,5.800,0.100,5.801,0.988,16.000
3.489,28,1,928.240,269.720,-4.200,-0.100,4.201,181.364,14.000
3.489,28,2,580.280,97.360,0.100,6.200,6.201,89.076,16.000
3.489,28,3,499.720,903.760,-0.100,-5.800,5.801,269.012,16.000
3.590,29,0,96.820,200.290,5.800,0.100,5.801,0.988,16.000
3.590,29,1,927.820,269.710,-4.200,-0.100,4.201,181.364,14.000
3.590,29,2,580.290,97.980,0.100,6.200,6.201,89.076,16.000
3.590,29,3,499.710,903.180,-0.100,-5.800,5.801,269.012,16.000
3.691,30,0,97.400,200.300,5.800,0.100,5.801,0.988,16.000
3.691,30,1,927.400,269.700,-4.200,-0.100,4.201,181.364,14.000
3.691,30,2,580.300,98.600,0.100,6.200,6.201,89.076,16.000
3.691,30,3,499.700,902.600,-0.100,-5.800,5.801,269.012,16.000
3.792,31,0,97.980,200.310,5.800,0.100,5.801,0.988,16.000
3.792,31,1,926.980,269.690,-4.200,-0.100,4.201,181.364,14.000
3.792,31,2,580.310,99.220,0.100,6.200,6.201,89.076,16.000
3.792,31,3,499.690,902.020,-0.100,-5.800,5.801,269.012,16.000
3.893,32,0,98.560,200.320,5.800,0.100,5.801,0.988,16.000
3.893,32,1,926.560,269.680,-4.200,-0.100,4.201,181.364,14.000
3.893,32,2,580.320,99.840,0.100,6.200,6.201,89.076,16.000
3.893,32,3,499.680,901.440,-0.100,-5.800,5.801,269.012,16.000
3.997,33,0,99.140,200.330,5.800,0.100,5.801,0.988,16.000
3.997,33,1,926.140,269.670,-4.200,-0.100,4.201,181.364,14.000
3.997,33,2,580.330,100.460,0.100,6.200,6.201,89.076,16.000
3.997,33,3,499.670,900.860,-0.100,-5.800,5.801,269.012,16.000
4.098,34,0,99.720,200.340,5.800,0.100,5.801,0.988,16.000
4.098,34,1,925.720,269.660,-4.200,-0.100,4.201,181.364,14.000
4.098,34,2,580.340,101.080,0.100,6.200,6.201,89.076,16.000
4.098,34,3,499.660,900.280,-0.100,-5.800,5.801,269.012,16.000
4.199,35,0,100.300,200.350,5.800,0.100,5.801,0.988,16.000
4.199,35,1,925.300,269.650,-4.200,-0.100,4.201,181.364,14.000
4.199,35,2,580.350,101.700,0.100,6.200,6.201,89.076,16.000
4.199,35,3,499.650,899.700,-0.100,-5.800,5.801,269.012,16.000
4.300,36,0,100.880,200.360,5.800,0.100,5.801,0.988,16.000
4.300,36,1,924.880,269.640,-4.200,-0.100,4.201,181.364,14.000
4.300,36,2,580.360,102.320,0.100,6.200,6.201,89.076,16.000
4.300,36,3,499.640,899.120,-0.100,-5.800,5.801,269.012,16.000
4.401,37,0,101.460,200.370,5.800,0.100,5.801,0.988,16.000
4.401,37,1,924.460,269.630,-4.200,-0.100,4.201,181.364,14.000
4.401,37,2,580.370,102.940,0.100,6.200,6.201,89.076,16.000
4.401,37,3,499.630,898.540,-0.100,-5.800,5.801,269.012,16.000
4.502,38,0,102.040,200.380,5.800,0.100,5.801,0.988,16.000
4.502,38,1,924.040,269.620,-4.200,-0.100,4.201,181.364,14.000
4.502,38,2,580.380,103.560,0.100,6.200,6.201,89.076,16.000
4.502,38,3,499.620,897.960,-0.100,-5.800,5.801,269.012,16.000
4.602,39,0,102.620,200.390,5.800,0.100,5.801,0.988,16.000
4.602,39,1,923.620,269.610,-4.200,-0.100,4.201,181.364,14.000
4.602,39,2,580.390,104.180,0.100,6.200,6.201,89.076,16.000
4.602,39,3,499.610,897.380,-0.100,-5.800,5.801,269.012,16.000
4.703,40,0,103.200,200.400,5.800,0.100,5.801,0.988,16.000
4.703,40,1,923.200,269.600,-4.200,-0.100,4.201,181.364,14.000
4.703,40,2,580.400,104.800,0.100,6.200,6.201,89.076,16.000
4.703,40,3,499.600,896.800,-0.100,-5.800,5.801,269.012,16.000
4.803,41,0,103.780,200.410,5.800,0.100,5.801,0.988,16.000
4.803,41,1,922.780,269.590,-4.200,-0.100,4.201,181.364,14.000
4.803,41,2,580.410,105.420,0.100,6.200,6.201,89.076,16.000
4.803,41,3,499.590,896.220,-0.100,-5.800,5.801,269.012,16.000
4.904,42,0,104.360,200.420,5.800,0.100,5.801,0.988,16.000
4.904,42,1,922.360,269.580,-4.200,-0.100,4.201,181.364,14.000
4.904,42,2,580.420,106.040,0.100,6.200,6.201,89.076,16.000
4.904,42,3,499.580,895.640,-0.100,-5.800,5.801,269.012,16.000
5.005,43,0,104.940,200.430,5.800,0.100,5.801,0.988,16.000
5.005,43,1,921.940,269.570,-4.200,-0.100,4.201,181.364,14.000
5.005,43,2,580.430,106.660,0.100,6.200,6.201,89.076,16.000
5.005,43,3,499.570,895.060,-0.100,-5.800,5.801,269.012,16.000
5.106,44,0,105.520,200.440,5.800,0.100,5.801,0.988,16.000
5.106,44,1,921.520,269.560,-4.200,-0.100,4.201,181.364,14.000
5.106,44,2,580.440,107.280,0.100,6.200,6.201,89.076,16.000
5.106,44,3,499.560,894.480,-0.100,-5.800,5.801,269.012,16.000
5.207,45,0,106.100,200.450,5.800,0.100,5.801,0.988,16.000
5.207,45,1,921.100,269.550,-4.200,-0.100,4.201,181.364,14.000
5.207,45,2,580.450,107.900,0.100,6.200,6.201,89.076,16.000
5.207,45,3,499.550,893.900,-0.100,-5.800,5.801,269.012,16.000
5.307,46,0,106.680,200.460,5.800,0.100,5.801,0.988,16.000
5.307,46,1,920.680,269.540,-4.200,-0.100,4.201,181.364,14.000
5.307,46,2,580.460,108.520,0.100,6.200,6.201,89.076,16.000
5.307,46,3,499.540,893.320,-0.100,-5.800,5.801,269.012,16.000
5.408,47,0,107.260,200.470,5.800,0.100,5.801,0.988,16.000
5.408,47,1,920.260,269.530,-4.200,-0.100,4.201,181.364,14.000
5.408,47,2,580.470,109.140,0.100,6.200,6.201,89.076,16.000
5.408,47,3,499.530,892.740,-0.100,-5.800,5.801,269.012,16.000
5.509,48,0,107.840,200.480,5.800,0.100,5.801,0.988,16.000
5.509,48,1,919.840,269.520,-4.200,-0.100,4.201,181.364,14.000
5.509,48,2,580.480,109.760,0.100,6.200,6.201,89.076,16.000
5.509,48,3,499.520,892.160,-0.100,-5.800,5.801,269.012,16.000
5.610,49,0,108.420,200.490,5.800,0.100,5.801,0.988,16.000
5.610,49,1,919.420,269.510,-4.200,-0.100,4.201,181.364,14.000
5.610,49,2,580.490,110.380,0.100,6.200,6.201,89.076,16.000
5.610,49,3,499.510,891.580,-0.100,-5.800,5.801,269.012,16.000
5.710,50,0,109.000,200.500,5.800,0.100,5.801,0.988,16.000
5.710,50,1,919.000,269.500,-4.200,-0.100,4.201,181.364,14.000
5.710,50,2,580.500,111.000,0.100,6.200,6.201,89.076,16.000
5.710,50,3,499.500,891.000,-0.100,-5.800,5.801,269.012,16.000
5.811,51,0,109.580,200.510,5.800,0.100,5.801,0.988,16.000
5.811,51,1,918.580,269.490,-4.200,-0.100,4.201,181.364,14.000
5.811,51,2,580.510,111.620,0.100,6.200,6.201,89.076,16.000
5.811,51,3,499.490,890.420,-0.100,-5.800,5.801,269.012,16.000
5.911,52,0,110.160,200.520,5.800,0.100,5.801,0.988,16.000
5.911,52,1,918.160,269.480,-4.200,-0.100,4.201,181.364,14.000
5.911,52,2,580.520,112.240,0.100,6.200,6.201,89.076,16.000
5.911,52,3,499.480,889.840,-0.100,-5.800,5.801,269.012,16.000
6.012,53,0,110.740,200.530,5.800,0.100,5.801,0.988,16.000
6.012,53,1,917.740,269.470,-4.200,-0.100,4.201,181.364,14.000
6.012,53,2,580.530,112.860,0.100,6.200,6.201,89.076,16.000
6.012,53,3,499.470,889.260,-0.100,-5.800,5.801,269.012,16.000
6.114,54,0,111.320,200.540,5.800,0.100,5.801,0.988,16.000
6.114,54,1,917.320,269.460,-4.200,-0.100,4.201,181.364,14.000
